image,dataset,vessel_density,vessel_tortuosity,branching_points,vessel_length,average_vessel_width,ridge_width,max_ridge_height,neovascularization_score,disk_diameter,disk_circularity,disk_center_x,disk_center_y
001_F_GA41_BW2905_PA44_DG11_PF0_D1_S01_10.jpg,01,0.9784088134765624,0.0,0,2298,49.86013402331385,17.913012,852.0199528180077,24214,765.2474176951745,0.0190758861858945,264.9699868676239,255.94463529391305
001_F_GA41_BW2905_PA44_DG11_PF0_D1_S01_6.jpg,01,0.7169990539550781,0.0,0,2927,26.49687031663435,23.92714,649.5983374362961,23692,849.7706563298589,0.0173684914016884,246.9221361770556,267.2663591609891
001_F_GA41_BW2905_PA44_DG11_PF0_D1_S01_4.jpg,01,0.726531982421875,0.0,0,3052,22.180167103952098,33.085526,742.1118514078589,25886,906.8631102977882,0.0279970747923077,297.9306778632383,279.78665205167266
001_F_GA41_BW2905_PA44_DG11_PF0_D1_S01_9.jpg,01,0.8893280029296875,0.0,0,2010,41.34194490846711,24.900112,542.7061820174891,29984,822.5938302530677,0.0171722385553287,268.8289428128434,269.97706642982945
001_F_GA41_BW2905_PA44_DG11_PF0_D1_S01_8.jpg,01,0.8933830261230469,0.0,0,2246,39.06771479911335,9.650548,629.0453083840623,32577,854.7753349910166,0.0108417864227623,274.9464802280759,264.21751556172063
001_F_GA41_BW2905_PA44_DG11_PF0_D1_S01_7.jpg,01,0.8599433898925781,0.0,0,2312,30.60915339572433,27.944769,617.991909332153,28179,817.8094894391146,0.0186262271774938,271.15659338567326,271.16420831397875
001_F_GA41_BW2905_PA44_DG11_PF0_D1_S01_1.jpg,01,0.9964370727539062,0.0,0,1318,100.7579628922252,29.776575,675.1947867097316,22667,824.7270765009972,0.0366195480826026,336.5353869653768,264.0328336528094
001_F_GA41_BW2905_PA44_DG11_PF0_D1_S01_11.jpg,01,0.975566864013672,0.0,0,2156,51.88149073613682,15.853158,765.3456735358213,25647,826.7778225756164,0.0224452112521756,295.8018879873637,256.5329727232765
001_F_GA41_BW2905_PA44_DG11_PF0_D1_S01_5.jpg,01,0.6758270263671875,0.0,0,3228,23.075025619942128,35.76155,814.8545882548616,23525,834.4575652129494,0.0229255958027746,291.5438627287488,280.5750427875543
001_F_GA41_BW2905_PA44_DG11_PF0_D1_S01_2.jpg,01,0.9212379455566406,0.0,0,2512,42.01385221137974,13.73993,567.9524627994847,33756,849.9204764377819,0.0202485961252547,345.2651654022956,279.887567331284
001_F_GA41_BW2905_PA44_DG11_PF0_D1_S01_3.jpg,01,0.8913383483886719,0.0,0,1509,60.41158495691013,20.372839,625.352700481896,29859,833.7889842759591,0.0258789201315312,351.1146787982682,282.76789521109424
001_F_GA41_BW2905_PA44_DG11_PF0_D1_S01_12.jpg,01,0.985382080078125,0.0,0,2436,52.603862901851166,14.548109,800.7121829971117,25315,793.1084911691477,0.0211807640122731,279.17666062117434,252.33580820675584
001_F_GA41_BW2905_PA47_DG11_PF0_D1_S02_7.jpg,02,0.7189369201660156,0.0,0,3514,20.256931922241375,19.129612,978.897338846112,16241,584.6049594365518,0.0243680612804607,206.02998286267788,242.4195365472021
001_F_GA41_BW2905_PA47_DG11_PF0_D1_S02_2.jpg,02,0.9287261962890624,0.0,0,1968,42.64337976899698,21.78337,686.8609757440001,24409,741.9725832890254,0.0302420201332193,248.03764281419123,219.4354317961053
001_F_GA41_BW2905_PA47_DG11_PF0_D1_S02_4.jpg,02,0.943561553955078,0.0,0,2471,35.459428149858056,15.762635,921.7863092929944,19442,712.2530949361325,0.0180601997091033,225.06557640373865,217.1400475860615
001_F_GA41_BW2905_PA47_DG11_PF0_D1_S02_1.jpg,02,0.9680671691894532,0.0,0,2502,41.56938358012065,20.5226,855.716074407861,18847,648.5186862511512,0.0315516569155435,233.40790748365225,215.88167837248727
001_F_GA41_BW2905_PA47_DG11_PF0_D1_S02_18.jpg,02,0.9313926696777344,0.0,0,1749,54.73919644753085,20.341982,726.1129388738366,26819,703.8155947109332,0.0271428974657163,254.00442100284795,226.09213164307084
001_F_GA41_BW2905_PA47_DG11_PF0_D1_S02_13.jpg,02,0.9713172912597656,0.0,0,2431,40.38227947732846,18.24721,917.4976839207824,17393,634.7631789641792,0.0270747883468795,218.73552089389997,218.21858331016003
001_F_GA41_BW2905_PA47_DG11_PF0_D1_S02_11.jpg,02,0.8002243041992188,0.0,0,2672,32.77474200051366,13.888817,900.925080125978,28048,788.3680893625776,0.0239094879607001,265.0490347110689,242.98760201907635
